uniq_id,title,brand,description,price,categories,images,manufacturer,package_dimensions,country_of_origin,material,color
1,"Modern Oak Dining Table","IKEA","A sleek and modern dining table made from sustainable oak wood. Perfect for family gatherings and dinner parties.",299.99,"Dining Room > Dining Tables","https://example.com/oak_table.jpg","IKEA AB","120x80x75 cm","Sweden","Oak Wood","Natural Brown"
2,"Comfortable Office Chair","Herman Miller","Ergonomic office chair with lumbar support and breathable mesh back. Ideal for long working hours.",459.00,"Office > Chairs","https://example.com/office_chair.jpg","Herman Miller Inc.","60x60x120 cm","USA","Mesh/Plastic","Black"
3,"Minimalist Bookshelf","MUJI","Clean-lined bookshelf with 5 adjustable shelves. Made from sustainable pine wood.",189.99,"Living Room > Storage","https://example.com/bookshelf.jpg","MUJI Co.","80x30x180 cm","Japan","Pine Wood","White"
4,"Velvet Sofa Set","West Elm","Luxurious 3-seater velvet sofa with matching cushions. Adds elegance to any living space.",1299.99,"Living Room > Sofas","https://example.com/velvet_sofa.jpg","West Elm Corp.","200x90x85 cm","USA","Velvet/Wood","Navy Blue"
5,"Rustic Coffee Table","Pottery Barn","Handcrafted coffee table with rustic finish. Features storage drawer and lower shelf.",549.00,"Living Room > Coffee Tables","https://example.com/coffee_table.jpg","Pottery Barn Inc.","120x60x45 cm","USA","Reclaimed Wood","Brown"
6,"Memory Foam Mattress","Casper","Premium memory foam mattress with cooling technology. Available in multiple sizes.",799.99,"Bedroom > Mattresses","https://example.com/mattress.jpg","Casper Sleep Inc.","200x160x25 cm","USA","Memory Foam","White"
7,"Scandinavian Nightstand","Article","Sleek nightstand with single drawer and open shelf. Perfect for modern bedrooms.",149.99,"Bedroom > Nightstands","https://example.com/nightstand.jpg","Article Inc.","45x35x55 cm","Canada","Oak Wood","Natural"
8,"Industrial Bar Stool","CB2","Adjustable height bar stool with metal frame and leather seat. Great for kitchen islands.",199.99,"Dining Room > Bar Stools","https://example.com/bar_stool.jpg","CB2 LLC","40x40x75-95 cm","USA","Metal/Leather","Black"
9,"Outdoor Patio Set","IKEA","Weather-resistant patio furniture set including table and 4 chairs. Perfect for outdoor dining.",399.99,"Outdoor > Patio Sets","https://example.com/patio_set.jpg","IKEA AB","120x120x75 cm","Sweden","Aluminum/Textilene","Gray"
10,"Kids Study Desk","IKEA","Adjustable height study desk designed for growing children. Includes built-in storage.",129.99,"Kids > Desks","https://example.com/kids_desk.jpg","IKEA AB","80x60x65-80 cm","Sweden","MDF/Steel","White/Pink"
